x,y,labels,doc_top,topic
5.307274,12.765844,11,39,10
12.001777,7.812497,90,58,19
6.355993,8.874161,80,6,18
6.3335233,7.6877317,65,54,2
5.252944,6.402966,38,100,17
6.381546,9.041857,80,15,3
9.52585,9.106193,98,7,17
11.080734,8.298532,70,29,17
12.413046,10.216867,110,82,11
5.2078004,13.245823,10,97,10
5.103562,13.148547,10,97,10
11.082266,6.8548126,85,13,12
3.475006,6.2570434,4,2,7
12.186238,5.8124657,36,52,5
13.316262,7.419713,62,12,5
9.154043,5.4796867,27,72,12
12.76881,9.226684,96,16,16
10.185105,6.2013717,59,111,9
5.70061,8.157973,89,38,3
10.518906,6.115184,59,13,12
3.5646293,10.691524,53,0,0
5.204269,8.444934,75,6,18
7.645881,11.853467,21,77,6
13.285516,7.4163246,62,12,5
6.4321923,5.013168,8,19,15
6.3850904,5.0743756,8,4,14
8.156841,6.426293,73,1,1
4.7475357,10.495159,42,99,0
10.967836,8.254272,70,29,17
11.972545,10.407177,113,31,11
6.5914764,4.6979327,8,4,14
11.049177,8.206615,70,29,17
11.055122,9.559098,118,11,8
4.278852,6.656533,4,5,13
8.06941,9.295245,57,47,16
7.4445915,6.896485,73,1,1
8.770319,6.8073683,73,70,15
13.224685,7.2609386,62,69,19
4.031802,6.8688016,4,77,6
11.907261,6.449635,76,28,5
9.169609,7.278261,44,14,19
4.2707615,8.111075,75,6,18
3.3047235,10.482157,53,0,0
12.4242735,6.5617127,54,21,5
3.0782068,9.946618,53,0,0
8.466134,6.3440094,73,1,1
5.539238,6.5132823,38,5,13
13.012911,6.3465967,51,56,5
12.251816,9.756581,103,17,11
3.7227988,6.4876595,4,2,7
3.3415027,10.364756,53,0,0
7.2857494,11.805412,21,80,6
9.981656,8.058424,25,7,17
5.3741646,12.820618,11,39,10
3.3666859,9.79603,53,0,0
11.1286335,7.0745797,85,44,9
7.8049617,11.783994,21,24,6
4.286647,10.0429325,53,0,0
4.528248,9.95297,53,0,0
3.3077192,9.769454,53,0,0
4.704033,13.014354,9,78,10
6.61335,8.425828,79,3,2
12.405057,9.679546,103,17,11
4.7457757,11.896895,13,8,10
11.546148,10.109946,114,23,11
8.749083,6.898715,73,1,1
4.645611,10.027958,53,3,2
8.3024645,8.053337,84,19,15
12.347986,10.326158,110,43,11
11.661239,9.350188,115,85,11
7.2613277,7.0998826,73,75,3
5.342868,9.778433,53,54,2
8.467394,8.295779,83,19,15
12.634183,7.757392,78,14,19
7.012719,11.589181,21,117,6
3.2560792,10.059286,53,0,0
12.522868,7.4385943,78,14,19
8.401213,6.406879,73,1,1
6.017861,4.6112237,8,4,14
6.319955,4.3700056,8,4,14
7.7815595,6.7764854,73,1,1
8.297724,6.6676793,73,1,1
7.6850734,11.855694,21,24,6
7.1408715,9.475659,29,41,7
13.069212,6.878067,61,33,5
5.7303247,9.370711,55,3,2
3.2917428,6.653339,4,2,7
3.1241357,10.11347,53,0,0
7.667947,11.410855,21,35,6
7.349711,10.995048,21,36,6
8.81783,5.8142395,35,88,12
8.904195,5.7227163,35,88,12
3.7444062,4.680649,0,51,13
8.645418,8.38591,83,19,15
10.518453,7.2109146,69,9,9
10.340355,6.4577255,63,26,9
2.7143035,10.430157,26,101,0
4.1398096,11.212516,31,53,0
12.923885,8.77789,108,16,16
10.450496,6.05394,59,13,12
13.280243,8.202685,62,12,5
11.531902,10.519934,112,23,11
10.433462,6.0448837,59,73,9
4.539475,7.858452,75,6,18
9.205355,5.708618,27,86,12
9.337155,5.724412,27,72,12
12.813369,9.098823,96,16,16
9.897968,9.387556,95,40,15
13.298981,8.343968,62,12,5
7.02419,8.307645,56,3,2
5.104289,13.1274805,10,66,12
5.4344797,6.4568644,38,5,13
3.251203,10.411113,53,0,0
5.546733,6.5623684,38,5,13
6.9279146,8.346425,56,54,2
3.5820289,9.081408,19,60,0
2.9887984,6.3890877,4,2,7
4.9763355,11.414648,13,8,10
5.2141347,9.453218,53,0,0
13.044003,6.35378,51,56,5
4.686354,8.00719,75,6,18
4.595211,8.08028,75,6,18
12.270159,10.458453,110,17,11
11.926173,7.5194674,90,58,19
12.767557,9.946121,100,82,11
10.391637,6.694287,63,26,9
2.9516056,6.6747775,4,77,6
3.029198,10.055862,53,0,0
3.536381,10.507433,53,37,3
10.050465,5.174376,5,63,12
13.004177,6.30538,51,56,5
8.7077265,8.302116,83,19,15
12.447046,9.388641,104,85,11
7.438375,7.280505,73,92,1
4.3138385,10.1068535,53,0,0
9.196921,9.275487,102,10,4
5.2094755,12.87413,11,39,10
3.5432425,8.923362,19,60,0
12.664672,7.7174387,78,14,19
