x,y,labels,doc_top,topic
11.585359,11.807553,1,12,13
11.540497,11.781309,1,12,13
10.9370775,12.007337,1,12,13
8.026064,7.1776805,2,22,7
7.2516465,8.475636,2,1,2
10.763137,12.055447,1,20,14
8.260027,8.028886,2,4,7
10.910628,12.148552,1,12,13
11.786349,11.770533,1,12,13
11.695644,11.781282,1,12,13
5.3011665,9.4307,2,21,5
10.835472,12.4493265,1,12,13
10.718629,12.398136,1,12,13
11.669716,11.742365,1,12,13
11.099477,11.627793,1,12,13
8.981432,6.094657,2,13,10
10.901872,11.969032,1,12,13
11.517024,11.97314,1,12,13
7.673163,8.122996,2,1,2
10.84785,12.308714,1,12,13
11.030435,11.85242,1,12,13
6.090019,6.451421,2,7,9
10.602284,11.724481,1,18,6
11.545809,11.84113,1,12,13
11.634894,11.754129,1,12,13
8.078157,7.9931045,2,22,7
11.552582,11.824973,1,12,13
9.246089,5.6842713,2,13,10
11.140745,12.353418,1,12,13
10.612272,11.155337,1,12,13
11.498957,11.976464,1,12,13
10.978102,12.131995,1,12,13
10.842773,11.655025,1,20,14
10.779697,12.456406,1,12,13
10.948262,9.283728,2,16,10
11.172807,12.495168,1,12,13
10.746689,12.512148,1,12,13
11.012157,12.067587,1,12,13
8.744259,5.6779075,2,11,6
11.397152,11.861678,1,12,13
11.511614,11.968783,1,12,13
9.079387,7.1536155,2,16,10
11.7277355,11.777154,1,12,13
11.534669,11.8778925,1,12,13
11.106797,12.0989895,1,12,13
11.5836525,11.780147,1,12,13
8.851795,8.264613,2,1,2
10.902084,11.985731,1,20,14
11.526266,11.956686,1,12,13
8.686151,8.616215,2,12,13
10.871847,12.017985,1,12,13
11.573071,11.456244,1,18,6
8.264802,8.503083,2,1,2
10.218513,9.991778,2,9,8
11.59023,11.556473,1,12,13
11.436765,11.862089,1,12,13
10.728066,12.271418,1,12,13
11.496017,11.82939,1,12,13
10.982898,12.132113,1,12,13
11.71298,7.632731,2,2,1
10.854714,11.866829,1,12,13
11.584183,11.831756,1,12,13
10.968096,12.054119,1,12,13
11.535282,12.035752,1,12,13
11.603132,11.762254,1,12,13
8.1995,4.8777914,2,18,6
11.582723,11.754779,1,12,13
11.502321,11.903284,1,12,13
11.692927,11.756397,1,12,13
11.522108,11.865806,1,12,13
11.558129,12.046187,1,12,13
10.904773,12.561715,1,12,13
10.870549,12.443899,1,12,13
10.189905,6.614764,2,18,6
11.228021,8.902414,2,9,8
10.961079,11.913049,1,12,13
10.056272,6.423589,2,18,6
7.791822,7.334714,2,22,7
11.715313,11.745669,1,12,13
11.160513,12.105685,1,12,13
9.238384,7.8606405,2,20,14
10.8416605,12.426502,1,12,13
11.611544,11.721668,1,12,13
11.648377,11.758324,1,12,13
7.230437,8.208315,2,1,2
9.80894,5.673429,2,11,6
10.974588,12.060909,1,12,13
11.751009,11.899037,1,12,13
10.764542,12.517246,1,12,13
11.072365,12.19692,1,12,13
11.623009,11.816555,1,12,13
11.321396,11.814589,1,12,13
10.7983465,12.178349,1,12,13
10.944361,11.924587,1,12,13
9.518234,8.326644,2,20,14
10.852514,12.363476,1,12,13
11.020268,12.09638,1,12,13
9.315361,8.119625,2,20,14
2.5712287,7.186975,2,12,13
7.323279,7.8899655,2,2,1
11.524715,11.56396,1,12,13
11.318603,11.9970455,1,12,13
11.413917,11.670382,1,12,13
9.774654,8.0302,2,20,14
11.173619,11.794161,1,12,13
9.210736,8.259188,2,12,13
10.842806,12.388285,1,12,13
4.2927685,9.552405,2,25,4
11.124686,12.422645,1,12,13
10.8210535,12.43739,1,12,13
10.903223,11.847254,1,23,14
7.5033445,8.185284,2,1,2
10.718151,12.370246,1,12,13
9.588348,8.236331,2,20,14
10.787773,12.377283,1,12,13
7.9049544,6.8432717,2,22,7
11.616162,11.509639,1,20,14
10.75612,12.131669,1,12,13
11.532375,11.605991,1,12,13
11.0476465,11.906131,1,12,13
9.941503,7.9927206,2,23,14
11.53211,11.977305,1,12,13
10.247205,7.926279,2,20,14
9.20825,8.249902,2,20,14
10.821823,12.445244,1,12,13
11.042029,11.8473215,1,12,13
8.465953,5.4782295,2,4,7
10.774055,12.22765,1,12,13
7.457003,7.020525,2,22,7
10.886346,11.980253,1,12,13
11.496038,11.478534,1,12,13
9.164803,5.4394298,2,11,6
11.570161,11.4922905,1,12,13
10.922864,12.06035,1,12,13
10.874232,12.307382,1,12,13
10.908216,12.292863,1,12,13
10.944704,12.277731,1,12,13
11.481813,11.445344,1,23,14
5.415132,5.445374,2,10,3
11.672776,11.692059,1,12,13
11.45244,11.908859,1,12,13
10.760802,12.473112,1,12,13
10.789345,12.230515,1,12,13
11.482062,11.823868,1,12,13
10.888963,12.110129,1,12,13
11.609172,11.531265,1,12,13
11.593616,11.591022,1,18,6
9.1491165,5.411138,2,11,6
10.157994,6.6211615,2,20,14
11.462432,11.633974,1,12,13
11.48453,11.901846,1,12,13
11.162001,11.421529,1,12,13
11.282827,12.015861,1,12,13
10.99252,12.087781,1,12,13
11.3414755,11.220499,1,20,14
10.790188,11.9852085,1,12,13
7.513871,8.510003,2,20,14
9.699754,8.217339,2,20,14
